	d^2u/dx2^2{power: 1.0}	u{power: 1.0}	C	du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}_r	du/dx1{power: 1.0}_r
84	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
85	0.0	0.0	0.0	0.0	0	-1
86	0.027646639035031	-0.2180803600893655	0.2630550855130348	-0.0411104426915194	-1	0
87	0.0	0.0	0.0	0.0	0	-1
88	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
89	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
90	0.0	0.0	0.0	0.0	0	-1
91	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
92	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
93	0.0276466390350329	-0.2180803600893364	0.263055085512941	-0.0411104426915203	-1	0
94	0.0	0.0	0.0	0.0	0	-1
95	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
96	0.0276466390350329	-0.2180803600893364	0.263055085512941	-0.0411104426915203	-1	0
97	0.0	0.0	0.0	0.0	0	-1
98	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
99	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
100	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
101	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
102	0.0	0.0	0.0	0.0	0	-1
103	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
104	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
105	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
106	0.0	0.0	0.0	0.0	0	-1
107	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
108	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
109	0.0	0.0	0.0	0.0	0	-1
110	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
111	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
112	0.0276466390350314	-0.218080360089353	0.263055085512993	-0.0411104426915212	-1	0
113	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
114	0.0	0.0	0.0	0.0	0	-1
115	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
116	0.0	0.0	0.0	0.0	0	-1
117	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
118	0.0276466390350311	-0.2180803600893647	0.2630550855130323	-0.0411104426915212	-1	0
119	0.0	-1.1116870925398714	3.119353000153107	0.0	-1	0
120	0.0	0.0	0.0	0.0	0	-1
121	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
122	0.0	0.0	0.0	0.0	0	-1
123	0.0276466390350329	-0.2180803600893373	0.2630550855129436	-0.0411104426915203	-1	0
124	0.034083335099562	0.0	-0.434644056538215	-0.0280409988028543	-1	0
125	0.0414160032032822	0.253863926872501	-1.2465836553337553	0.0	-1	0
126	0.0	0.0	0.0	0.0	0	-1
