	u{power: 1.0} * du/dx1{power: 1.0}	d^2u/dx1^2{power: 1.0}	C	u{power: 1.0} * du/dx2{power: 1.0}	du/dx2{power: 1.0}	du/dx1{power: 1.0}	du/dx2{power: 1.0} * d^2u/dx1^2{power: 1.0}	d^2u/dx1^2{power: 1.0} * u{power: 1.0}	d^2u/dx1^2{power: 1.0} * du/dx1{power: 1.0}	u{power: 1.0}	du/dx1{power: 1.0} * du/dx2{power: 1.0}	du/dx1{power: 1.0} * du/dx2{power: 1.0}_r	du/dx1{power: 1.0}_r	u{power: 1.0} * du/dx2{power: 1.0}_r	du/dx2{power: 1.0}_r	d^2u/dx1^2{power: 1.0}_r
54	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
55	0.0	2.2070707406860285e-16	3.838552150540908e-14	-0.9999999999999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
56	0.0	0.0	7.04704442367886e-15	0.0	0.0	-0.9999999999999998	-4.9017684238689834e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
57	0.0	2.2070707406860285e-16	3.838552150540908e-14	-0.9999999999999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
58	0.0	0.0	-0.015174903561221847	0.0015003862368651306	0.0	0.0	0.0	0.0	0.0	0.0	1.4517084748639008e-06	0.0	0.0	0.0	-1.0	0.0
59	-1.3381883073478396e-18	-0.4999999999999997	3.5192101376048043e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
60	0.0	2.2070707406860285e-16	3.838552150540908e-14	-0.9999999999999986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
61	0.0	0.0	-0.014616449128869478	0.0015221836145598157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0
62	0.0	0.0	7.04704442367886e-15	0.0	0.0	-0.9999999999999998	-4.9017684238689834e-18	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
63	0.0	-0.4999999999999997	-2.276974047912594e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
